zona,quartos,area,preco
norte,2.0,90.0,1100.0
norte,1.0,50.0,700.0
norte,1.0,70.0,600.0
norte,2.0,90.0,1200.0
norte,1.0,40.0,750.0
norte,1.0,40.0,850.0
norte,1.0,30.0,990.0
norte,2.0,80.0,1299.0
norte,1.0,40.0,1100.0
norte,3.0,520.0,6000.0
norte,1.0,30.0,1300.0
norte,2.0,60.0,1200.0
norte,2.0,130.0,3700.0
norte,3.0,240.0,1800.0
norte,1.0,40.0,500.0
norte,1.0,50.0,1000.0
norte,3.0,160.0,1800.0
norte,3.0,150.0,2200.0
norte,3.0,300.0,1600.0
norte,1.0,60.0,800.0
norte,3.0,90.0,2700.0
norte,2.0,95.0,1800.0
norte,3.0,150.0,1600.0
norte,2.0,100.0,1700.0
norte,2.0,100.0,1700.0
norte,2.0,50.0,1000.0
norte,2.0,75.0,2000.0
norte,1.0,40.0,850.0
norte,1.0,40.0,850.0
norte,1.0,50.0,1300.0
norte,2.0,90.0,1000.0
norte,2.0,60.0,1500.0
norte,1.0,50.0,1100.0
norte,,220.0,6000.0
norte,2.0,80.0,2000.0
norte,3.0,232.0,3600.0
norte,2.0,40.0,1500.0
norte,5.0,570.0,9000.0
norte,3.0,115.0,2700.0
norte,1.0,30.0,800.0
norte,3.0,130.0,3500.0
norte,3.0,80.0,2100.0
norte,2.0,55.0,1650.0
norte,1.0,45.0,550.0
norte,2.0,120.0,1900.0
norte,1.0,55.0,1400.0
norte,3.0,180.0,2500.0
norte,1.0,35.0,1150.0
norte,1.0,60.0,900.0
norte,1.0,48.0,1350.0
norte,1.0,52.0,1600.0
norte,2.0,100.0,1800.0
norte,1.0,50.0,650.0
norte,3.0,260.0,4500.0
norte,3.0,132.0,3000.0
norte,3.0,276.0,4500.0
norte,1.0,45.0,1600.0
norte,1.0,40.0,600.0
norte,2.0,60.0,1900.0
norte,3.0,210.0,3500.0
norte,2.0,100.0,1900.0
norte,2.0,70.0,1100.0
norte,2.0,130.0,2500.0
norte,2.0,60.0,1700.0
norte,2.0,55.0,1000.0
norte,5.0,416.0,10000.0
norte,2.0,50.0,1000.0
norte,2.0,250.0,1200.0
norte,2.0,70.0,1300.0
norte,1.0,45.0,990.0
norte,1.0,40.0,500.0
norte,2.0,60.0,1300.0
norte,1.0,40.0,700.0
norte,1.0,50.0,550.0
norte,2.0,60.0,1100.0
norte,1.0,50.0,750.0
norte,1.0,400.0,450.0
norte,3.0,60.0,900.0
norte,3.0,70.0,1000.0
norte,1.0,35.0,700.0
norte,2.0,90.0,1000.0
norte,1.0,70.0,600.0
norte,2.0,90.0,700.0
norte,2.0,70.0,1200.0
norte,2.0,55.0,1000.0
norte,2.0,60.0,1000.0
norte,2.0,80.0,1100.0
norte,2.0,70.0,800.0
norte,2.0,70.0,1800.0
norte,2.0,90.0,1300.0
norte,2.0,50.0,900.0
norte,1.0,40.0,700.0
norte,1.0,35.0,700.0
norte,3.0,90.0,1100.0
norte,1.0,35.0,700.0
norte,1.0,200.0,750.0
norte,2.0,48.0,1200.0
norte,1.0,30.0,550.0
norte,2.0,50.0,1400.0
norte,2.0,360.0,950.0
norte,3.0,90.0,1400.0
norte,5.0,80.0,2000.0
norte,1.0,40.0,800.0
norte,3.0,70.0,930.0
norte,1.0,80.0,750.0
norte,1.0,50.0,550.0
norte,1.0,70.0,1600.0
norte,2.0,48.0,920.0
norte,2.0,90.0,1050.0
norte,2.0,70.0,950.0
norte,2.0,60.0,900.0
norte,3.0,110.0,1800.0
norte,1.0,70.0,700.0
norte,5.0,85.0,1900.0
norte,3.0,80.0,1100.0
norte,1.0,45.0,700.0
norte,2.0,80.0,1400.0
norte,1.0,70.0,850.0
norte,3.0,140.0,1800.0
norte,2.0,70.0,1300.0
norte,1.0,30.0,1100.0
norte,3.0,170.0,1900.0
norte,1.0,45.0,650.0
norte,3.0,120.0,1600.0
norte,2.0,70.0,1400.0
norte,1.0,90.0,700.0
norte,1.0,35.0,720.0
norte,2.0,130.0,1400.0
norte,2.0,90.0,1600.0
norte,2.0,45.0,1000.0
norte,1.0,35.0,700.0
norte,1.0,80.0,900.0
norte,3.0,80.0,2500.0
norte,3.0,200.0,4000.0
norte,1.0,45.0,800.0
norte,2.0,89.0,2600.0
norte,1.0,50.0,700.0
norte,4.0,315.0,9700.0
norte,1.0,48.0,800.0
norte,1.0,50.0,700.0
norte,1.0,30.0,850.0
norte,2.0,70.0,3200.0
norte,4.0,340.0,4500.0
norte,3.0,240.0,5500.0
norte,2.0,55.0,1200.0
norte,4.0,450.0,3300.0
norte,2.0,90.0,2000.0
norte,3.0,125.0,2500.0
norte,2.0,130.0,1900.0
norte,4.0,400.0,6000.0
norte,2.0,60.0,1100.0
norte,1.0,50.0,550.0
norte,2.0,100.0,1500.0
norte,1.0,45.0,900.0
norte,1.0,45.0,750.0
norte,3.0,200.0,2000.0
norte,1.0,38.0,1300.0
norte,4.0,259.0,4000.0
